"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.86473474224547e-25,2.29195604638969,0.108,0.024,1.64200843313389e-20,"6","Mkx"
6.03264196265144e-25,0.312499518738383,1,1,1.68901909670315e-20,"6","Malat1"
6.52433943702799e-25,0.837599688640344,0.73,0.511,1.8266845555791e-20,"6","Nfia"
6.69938441705566e-25,2.09572644795049,0.124,0.031,1.87569364908724e-20,"6","Plekho2"
8.61210425970046e-25,3.25514915225214,0.106,0.024,2.41121695063093e-20,"6","Notch3"
8.84453967234633e-25,2.08034760632637,0.122,0.03,2.47629421746353e-20,"6","Cyp27a1"
9.37799243358656e-25,1.33404969434293,0.399,0.205,2.62565032155557e-20,"6","Sept11"
1.01768075675844e-24,1.35059609202726,0.347,0.161,2.84930258277229e-20,"6","Ctxn1"
1.11966001213897e-24,2.26406772563641,0.117,0.028,3.1348241019867e-20,"6","Lhfpl2"
4.25660038579645e-24,0.939020926846474,0.669,0.464,1.19176297601529e-19,"6","Ar"
4.86984745046252e-24,1.50600490126702,0.209,0.074,1.3634598891805e-19,"6","Dab2"
5.06650591820719e-24,1.58995811983865,0.185,0.061,1.41852032697965e-19,"6","Stom"
5.94737539882119e-24,0.440982760384925,1,0.995,1.66514616416196e-19,"6","Fos"
6.13460333179087e-24,1.72032063329368,0.204,0.072,1.71756624083481e-19,"6","Nacc2"
7.83678089576296e-24,0.824328731920392,0.723,0.502,2.19414191519571e-19,"6","Eid1"
8.63711644069419e-24,1.31191550501902,0.427,0.229,2.41821986106556e-19,"6","Parva"
9.39651514543642e-24,1.13929400603925,0.406,0.204,2.63083631041929e-19,"6","Meis1"
1.00202513208079e-23,0.398848512355595,0.986,0.951,2.80546996479978e-19,"6","Nedd4"
1.48656633743538e-23,1.78392426093064,0.138,0.038,4.16208843155158e-19,"6","Dennd2a"
1.92802655164258e-23,1.02800202815629,0.216,0.077,5.39808873928889e-19,"6","Nrp2"
1.93803803567098e-23,1.49792763008294,0.38,0.193,5.42611889227161e-19,"6","Atf5"
2.28676929473757e-23,1.158510236683,0.406,0.212,6.40249667140626e-19,"6","Rbms2"
2.42503685338909e-23,2.18675620244894,0.101,0.023,6.78961818211878e-19,"6","Osr1"
3.00396295463869e-23,2.21373927851092,0.124,0.033,8.41049548039741e-19,"6","Rnf24"
4.49245092929874e-23,0.740162727506964,0.23,0.084,1.25779641118506e-18,"6","Mef2c"
4.79173096726243e-23,1.66600283499046,0.261,0.109,1.34158883621414e-18,"6","Htra1"
4.84689471608637e-23,0.777695387673437,0.735,0.529,1.35703358260986e-18,"6","Jak1"
5.4710350370969e-23,1.78269444172435,0.115,0.028,1.53178038968639e-18,"6","Thsd7a"
7.8608484726949e-23,0.420486341942831,0.981,0.959,2.20088035538512e-18,"6","Morf4l1"
1.07344864766514e-22,1.30141756338811,0.493,0.291,3.00544152373285e-18,"6","Ccdc107"
1.10521776891342e-22,1.09097737289705,0.19,0.065,3.09438870940379e-18,"6","Mgll"
1.53242300740754e-22,1.93958449479008,0.183,0.063,4.29047793613963e-18,"6","Tubb2b"
2.64532405313649e-22,1.43725780976931,0.23,0.088,7.40637828397154e-18,"6","Gulp1"
2.81423262102893e-22,0.414316671641111,0.96,0.915,7.87928849235679e-18,"6","Cst3"
3.43049145463778e-22,2.09402937836485,0.101,0.023,9.60468997469486e-18,"6","Prkar1b"
4.33268369110145e-22,0.263627736282151,0.923,0.785,1.21306477983459e-17,"6","Gnai2"
4.84144060761353e-22,1.55048693621719,0.178,0.06,1.35550654131964e-17,"6","Slc4a3"
5.11447902472493e-22,1.98107439783649,0.113,0.028,1.43195183734249e-17,"6","Cbfa2t3"
5.8372774285601e-22,1.57988175778042,0.232,0.09,1.63432093444826e-17,"6","Itga5"
6.68664490336059e-22,1.46302174940021,0.258,0.109,1.8721268400429e-17,"6","Col23a1"
9.09583780035075e-22,1.6415877937664,0.181,0.062,2.5466526673422e-17,"6","Heg1"
1.01213396780245e-21,1.39950634587272,0.263,0.112,2.8337726830533e-17,"6","Ikbip"
1.70068484684594e-21,0.861858469037979,0.624,0.416,4.76157743419927e-17,"6","Ndrg2"
1.72688053481802e-21,1.96966628647716,0.153,0.049,4.83492012138349e-17,"6","Klhl13"
1.86790570532007e-21,0.623662048236818,0.772,0.565,5.22976239375514e-17,"6","Adamts1"
1.95806673956716e-21,1.10012370785819,0.418,0.226,5.48219525744015e-17,"6","Evi5"
2.02407359384171e-21,1.13981652523359,0.507,0.303,5.66700124803802e-17,"6","Id4"
2.99336718139438e-21,1.51795661818738,0.246,0.103,8.38082943446797e-17,"6","Vldlr"
3.00660302804524e-21,1.20384541222538,0.408,0.218,8.41788715792107e-17,"6","Smim3"
3.46313367234115e-21,1.46474802230975,0.913,0.876,9.69608165582075e-17,"6","Mt2"
5.46976746230024e-21,0.966642385881546,0.587,0.388,1.53142549409482e-16,"6","Rab34"
5.53140568686768e-21,1.12999689181799,0.256,0.108,1.54868296420921e-16,"6","Cxx1a"
5.82151498661291e-21,1.30035803032325,0.293,0.134,1.62990776595188e-16,"6","Mafb"
6.01892465209332e-21,0.583567173615814,0.303,0.135,1.68517852409309e-16,"6","Sdpr"
6.25421283190471e-21,2.31135311928586,0.108,0.028,1.75105450867668e-16,"6","Fstl3"
8.11748348988488e-21,1.72166855033198,0.174,0.06,2.27273302749797e-16,"6","Rassf8"
8.38713798252505e-21,1.63747532857289,0.333,0.166,2.34823089234736e-16,"6","F2r"
